"","Time","indice","obs"
"1",250,"1",0.47
"2",500,"1",0.93
"3",750,"1",2.11
"4",1000,"1",2.72
"5",1250,"1",3.51
"6",1500,"1",4.34
"7",1750,"1",4.91
"8",2000,"1",5.48
"9",2250,"1",5.99
"10",2500,"1",6.72
"11",2750,"1",7.13
"12",3000,"1",8
"13",3250,"1",8.92
"14",3500,"1",9.49
"15",3750,"1",9.87
"16",4000,"1",10.94
"17",250,"2",0.71
"18",500,"2",1.22
"19",750,"2",1.9
"20",1000,"2",2.3
"21",1250,"2",2.87
"22",1500,"2",3.75
"23",1750,"2",4.42
"24",2000,"2",4.99
"25",2250,"2",5.51
"26",2500,"2",6.07
"27",2750,"2",6.64
"28",3000,"2",7.16
"29",3250,"2",7.78
"30",3500,"2",8.42
"31",3750,"2",8.91
"32",4000,"2",9.28
"33",250,"3",0.71
"34",500,"3",1.17
"35",750,"3",1.73
"36",1000,"3",1.99
"37",1250,"3",2.53
"38",1500,"3",2.97
"39",1750,"3",3.3
"40",2000,"3",3.94
"41",2250,"3",4.16
"42",2500,"3",4.45
"43",2750,"3",4.89
"44",3000,"3",5.27
"45",3250,"3",5.69
"46",3500,"3",6.02
"47",3750,"3",6.45
"48",4000,"3",6.88
"49",250,"4",0.36
"50",500,"4",0.62
"51",750,"4",1.36
"52",1000,"4",1.95
"53",1250,"4",2.3
"54",1500,"4",2.95
"55",1750,"4",3.39
"56",2000,"4",3.79
"57",2250,"4",4.11
"58",2500,"4",4.5
"59",2750,"4",4.72
"60",3000,"4",4.98
"61",3250,"4",5.28
"62",3500,"4",5.61
"63",3750,"4",5.95
"64",4000,"4",6.14
"65",250,"5",0.27
"66",500,"5",0.61
"67",750,"5",1.11
"68",1000,"5",1.77
"69",1250,"5",2.06
"70",1500,"5",2.58
"71",1750,"5",2.99
"72",2000,"5",3.38
"73",2250,"5",4.05
"74",2500,"5",4.63
"75",2750,"5",5.24
"76",3000,"5",5.62
"77",3250,"5",6.04
"78",3500,"5",6.32
"79",3750,"5",7.1
"80",4000,"5",7.59
"81",250,"6",0.36
"82",500,"6",1.39
"83",750,"6",1.95
"84",1000,"6",2.86
"85",1250,"6",3.46
"86",1500,"6",3.81
"87",1750,"6",4.53
"88",2000,"6",5.35
"89",2250,"6",5.92
"90",2500,"6",6.71
"91",2750,"6",7.7
"92",3000,"6",8.61
"93",3250,"6",9.15
"94",3500,"6",9.95
"95",3750,"6",10.49
"96",4000,"6",11.01
"97",250,"7",0.36
"98",500,"7",0.92
"99",750,"7",1.21
"100",1000,"7",1.46
"101",1250,"7",1.93
"102",1500,"7",2.39
"103",1750,"7",2.68
"104",2000,"7",2.94
"105",2250,"7",3.42
"106",2500,"7",4.09
"107",2750,"7",4.58
"108",3000,"7",4.84
"109",3250,"7",5.11
"110",3500,"7",5.57
"111",3750,"7",6.11
"112",4000,"7",7.17
"113",250,"8",0.46
"114",500,"8",1.07
"115",750,"8",1.42
"116",1000,"8",1.77
"117",1250,"8",2.11
"118",1500,"8",2.4
"119",1750,"8",2.78
"120",2000,"8",3.02
"121",2250,"8",3.29
"122",2500,"8",3.75
"123",2750,"8",4.16
"124",3000,"8",4.76
"125",3250,"8",5.16
"126",3500,"8",5.46
"127",3750,"8",5.81
"128",4000,"8",6.24
"129",250,"9",0.51
"130",500,"9",0.93
"131",750,"9",1.57
"132",1000,"9",1.96
"133",1250,"9",2.59
"134",1500,"9",3.29
"135",1750,"9",3.61
"136",2000,"9",4.11
"137",2250,"9",4.6
"138",2500,"9",4.91
"139",2750,"9",5.34
"140",3000,"9",5.84
"141",3250,"9",6.4
"142",3500,"9",6.84
"143",3750,"9",7.2
"144",4000,"9",7.88
"145",250,"10",0.41
"146",500,"10",1.49
"147",750,"10",2.38
"148",1000,"10",3
"149",1250,"10",3.84
"150",1500,"10",4.5
"151",1750,"10",5.25
"152",2000,"10",6.26
"153",2250,"10",7.05
"154",2500,"10",7.8
"155",2750,"10",8.32
"156",3000,"10",8.93
"157",3250,"10",9.55
"158",3500,"10",10.45
"159",3750,"10",11.28
"160",4000,"10",12.21
"161",250,"11",0.44
"162",500,"11",1
"163",750,"11",1.57
"164",1000,"11",1.96
"165",1250,"11",2.51
"166",1500,"11",2.84
"167",1750,"11",3.47
"168",2000,"11",4.01
"169",2250,"11",4.51
"170",2500,"11",4.8
"171",2750,"11",5.2
"172",3000,"11",5.66
"173",3250,"11",6.2
"174",3500,"11",6.54
"175",3750,"11",6.96
"176",4000,"11",7.42
"177",250,"12",0.39
"178",500,"12",0.8
"179",750,"12",1.35
"180",1000,"12",1.74
"181",1250,"12",2.98
"182",1500,"12",3.59
"183",1750,"12",4.03
"184",2000,"12",4.44
"185",2250,"12",4.79
"186",2500,"12",5.22
"187",2750,"12",5.48
"188",3000,"12",5.96
"189",3250,"12",6.23
"190",3500,"12",6.99
"191",3750,"12",7.37
"192",4000,"12",7.88
"193",250,"13",0.3
"194",500,"13",0.74
"195",750,"13",1.52
"196",1000,"13",1.85
"197",1250,"13",2.39
"198",1500,"13",2.95
"199",1750,"13",3.51
"200",2000,"13",3.92
"201",2250,"13",5.03
"202",2500,"13",5.47
"203",2750,"13",5.84
"204",3000,"13",6.5
"205",3250,"13",6.94
"206",3500,"13",7.39
"207",3750,"13",7.85
"208",4000,"13",8.09
"209",250,"14",0.44
"210",500,"14",0.7
"211",750,"14",1.05
"212",1000,"14",1.35
"213",1250,"14",1.8
"214",1500,"14",2.55
"215",1750,"14",2.83
"216",2000,"14",3.39
"217",2250,"14",3.72
"218",2500,"14",4.09
"219",2750,"14",4.83
"220",3000,"14",5.41
"221",3250,"14",5.76
"222",3500,"14",6.14
"223",3750,"14",6.51
"224",4000,"14",6.88
"225",250,"15",0.51
"226",500,"15",0.83
"227",750,"15",1.29
"228",1000,"15",1.52
"229",1250,"15",1.91
"230",1500,"15",2.27
"231",1750,"15",2.78
"232",2000,"15",3.42
"233",2250,"15",3.78
"234",2500,"15",4.11
"235",2750,"15",4.38
"236",3000,"15",4.63
"237",3250,"15",5.38
"238",3500,"15",5.84
"239",3750,"15",6.16
"240",4000,"15",6.62
